词条,创建年,摘要
丧尸信心,2019,摘要： 丧尸信心的来源和意思每天啥正事也不干，干啥也没劲，不好好学习，不好好上班工作，总是一副非常颓废消极的态度浪费每一天光阴，但总有股莫名的信心觉得自己以后一定会很了不得，一定会是一个对国家，对社会有用的人才
鲸落,2019,摘要： 鲸落的来源和意思原指鲸鱼死亡后落到海底，身上自成一个小生态系统，这个以鲸鱼为根基的群落就叫鲸落当然我知道你们想找的不是这个鲸落对应的情侣名是鲨掉沙雕，因此常常被用来恶搞。除此之外，还有鲸落南北，猫南北等
如何用台湾腔表白，成功率90%,2014,摘要： 来到女神跟前，然后用随意淡定的口吻对女神说：“你造吗……有兽……为直在想…
淫,2017,摘要： 男淫女淫大忙淫
穷游,2015,"摘要： 俺富,俺照样爱穷游"
睡服,2015,"摘要： 睡心上人易,睡服心上人难啊"
洪荒之力,2017,摘要： 我已用了洪荒之力了
得得得得得得得得得得,2021,摘要： 这是卢本伟斗地主时剩下两个炸弹，打出一个后唱出的旋律，因为紧接着就被一个更大的炸弹压死紧接着输掉游戏且旋律极度鬼畜，被网友调侃成为流行语。
有图有jb,2017,摘要： 微信约炮有图有jb
打工人,2020,摘要： 2020年十月份突然在网友之间突然开始流行起一种新的称呼。
塑料花姐妹,2017,摘要： 好姐妹的感情就像塑料花，特别假，但是却永不凋谢。
疫医,2020,摘要： 疫医的来源和意思是SCP基金会中的第49号异常生物，代号“SCP-049”。形象如图SCP-049看称号就晓得，又“瘟疫”又“医生”的。但是，怎么说呢，这位大夫可是个瘟疫狂魔。疫医判断别人是否感染瘟疫或
我是自愿来上学的,2019,摘要： 上学乃人生一大苦事也，开学路上大有〝虽千万人吾往矣〞的仪式感（当然数以N计的小哥哥小姐姐们陪你同甘共苦呢）
屌丝,2015,"摘要： 要钱没有,要命有一条,要屌丝俺有很多"
粽子,2019,摘要： 粽子的来源和意思这里的粽子不是指端午节吃的那个粽子，而是类似僵尸一样的鬼怪。盗墓小说或影视剧常有，盗墓者的暗语，称尸体为粽子。共分七类：大粽子、老粽子、干粽子、肉粽子、血粽子、霉粽子、女粽子。其中大粽子
隔壁小孩馋哭了,2018,摘要： 隔壁小孩馋哭了的来源和意思隔壁小孩馋哭了最早来自抖音一个美食视频玩家，该词是该玩家的一句口头禅，意思是什么东西都可以按照那种做法去做，非常好吃，好吃到隔壁小孩都馋哭，由于比较有趣，后面被网友引用进行评论
王道,2017,摘要： 活着才是真正的王道哦
剧透,2014,摘要： 剧透是把涉及剧情的作品（如小说、电视剧、电影、漫画、游戏等）的内容泄漏的行为，其内容通常是涉及故事核心或伏线，因此对于未曾观看原作的读者，在阅毕后欣赏原作时的兴致可能会减少。
开车,2019,摘要： 在贴吧，以及各种网站资源丰富的人我们称之为老司机。老司机会以各种形式爆料所拥有的资源我们称之为开车。上了车还要注意前方高能的预警。很赤鸡，总之让人上了车就不想下车的赶脚
都教授,2014,摘要： 看见这三个字大家都很熟悉吧，没错就是最近非常热播的韩剧《来自星星的你》的男主角。都教授，是一位外星人哦！
好人卡,2019,摘要： 好人卡的来源和意思好人卡形容在表白过程中，被一方委婉拒绝，通常场景是这样子的，一个男的鼓起勇气对一个女的表白，天花乱坠说了很多，最后问你愿意做我女朋友吗，然后那女的就对他说了一句“你是个好人，但是我们不
凉凉了,2019,摘要： 指要完的时候说的话
小清新,2017,"摘要： 远离灯红酒绿,走小清新路线"
碉堡了,2021,摘要： 碉堡了的来源和意思“屌爆了”的谐音词，形容一件事情或者东西太吊了，我们知道，太屌了表示很厉害的意思，屌爆了则是超级厉害，超级棒棒的，很牛逼，无与伦比的操作等等意思。由于屌爆了不太文明，容易被屏蔽，于是网
黑出翔,2014,"摘要： 被黑出翔来了,真可怜啊"
酸爽,2017,"摘要： 这酸爽,简直让人不敢相信..."
学霸,2014,摘要： 每到了考期临近时，很多学生才发现“本是复习时，却如预习般”，而此时往往会坐不安，学不进，于是乎，只能开启“学霸模式”，让自己化身“学霸”，在有限的时间内完成不可能的学习任务。
肉里分,2019,摘要： 肉里分的来源和意思肉里分肉里分的使用例句肉里分的英文翻译
文明互鉴,2020,摘要： 文明互鉴，网络流行词，文明互鉴是构建人类命运共同体的人文基础，是增进各国人民友谊的桥梁、&nbsp;推动人类社会进步的动力、维护世界和平的纽带。2014年3月27日，*主席在联合国教科文组织总部发表演讲
拯救地球，吃小孩吧,2019,摘要： 环保靠嘴炮？（当地时间）周四，美国议员科特兹在主持会议时，现场突然出现了令人匪夷所思的一幕。啥智商？美国又现奇葩言论：“拯救地球，吃小孩吧”▲主持会议的议员：亚历山大·奥卡西奥-科特兹(Alexandr
素人,2017,摘要： 好看的a片啊，素人、熟女、群p。。。
对冲,2019,摘要： 中庸哲学在生活中的优秀实践。如运动完奖励自己吃大餐，吃完火锅后赶紧吃点胃药，晚睡了一定要泡枸杞，等等。
奇葩,2015,摘要： 整个冬天都能不洗澡啊，真是一朵奇葩
BUFF体验卡,2018,摘要： BUFF体验卡指的是这么珍贵的BUFF刚刚到手，还没来得及捂热发挥他的效果呢，就被击杀了，简而言之就是拿到BUFF后没多久就阵亡了。
吃货,2014,摘要： 从2012年开始因为《舌尖上的中国》上映，使得中华吃货们的队伍再一次壮大，你是不是其中一员呢？
相当ok,2017,摘要： 很大很粗很坚强，那是相当ok啊
恋爱循环,2019,摘要： 恋爱循环的来源和意思恋爱循环来自动画《化物语》第9集开始的片头曲，演唱者是配音演员花泽香菜。该歌曲因为巨甜无比而被大家喜欢！！！之前网上传出歌手腾格尔老师要和香菜一起唱这首甜甜的歌，但是后来竟然确定是谣
怂,2014,摘要： 生活中经常听到身边说“这人真怂”，到底怂是什么意思呢？为什么用来说人呢？下面我们一起来了解一下。
冰火两重天,2017,摘要： 好想去休闲中心感受一下冰火两重天啊
荒唐得令人喷饭,2019,摘要： 荒唐得令人喷饭的来源和意思该词来源于2019年7月25日的《新闻联播》中播发的国际锐评，题目为《究竟谁在全球到处欺侮恫吓他人？》：美国一百多名所谓对华强硬派人士最近污蔑中国推行“扩张主义”，“利用综合国
猫南北,2019,摘要： 猫南北的来源和意思这个词是“狗东西”的情侣名。是朋友之间互相玩笑，或情侣打情骂俏的常用搞怪梗，也是该梗的起句，“取情侣名吧？我叫猫南北，你叫什么？”此时对方只能猫对狗，南对东，北对西，成为狗东西。因为该
删库跑路,2020,摘要： 删库跑路的来源和意思意思是：删掉自家数据库后逃跑，这里指的是因对公司不满，报复性删除数据库2月23日晚6时56分，微盟公司运维部核心运维人员贺某通过个人VPN登入公司内网跳板机，凭一己之力删除自家数据库
鳅滑,2017,摘要： 这玩意儿鳅滑鳅滑的，怎么也抓不住啊
流量明星,2019,摘要： 流量明星的来源和意思指粉丝众多，常年占据微博热搜和娱乐头条的明星，但他们往往没有匹配其热度和影响力的实力（演技或唱功）。在互联网领域，流量指访问量（人气），这些明星粉丝基数大，号召力极强，走到哪里都能带
开车,2019,摘要： 在贴吧，以及各种网站资源丰富的人我们称之为老司机。老司机会以各种形式爆料所拥有的资源我们称之为开车。上了车还要注意前方高能的预警。很赤鸡，总之让人上了车就不想下车的赶脚
拯救地球，吃小孩吧,2019,摘要： 环保靠嘴炮？（当地时间）周四，美国议员科特兹在主持会议时，现场突然出现了令人匪夷所思的一幕。啥智商？美国又现奇葩言论：“拯救地球，吃小孩吧”▲主持会议的议员：亚历山大·奥卡西奥-科特兹(Alexandr
忘羡,2019,摘要： 忘羡的来源和意思1：指小说魔道祖师中蓝忘机和魏无羡这对CP的简称。2：指蓝忘机弹给魏无羡的一首曲子。曲子是而人被困山洞时，两人身负重伤，为了缓解疼痛，转移注意力，蓝忘机给魏无羡唱的这首原创曲子《忘羡》。
新闻联播体,2014,摘要： 新闻联播是我国中央电视台每天晚上七点半播出的一个新闻节目，从1978年开播，随着时代的发展，新闻节目的内容越来越贴近生活，从而衍生出一种新的文体，即“新闻联播体”。
精致的猪猪女孩,2019,摘要： 精致的猪猪女孩，网络流行语，出自微博，猪猪女孩有着乐观开朗的性格，带着一点傻乎乎，重要的是在她们心目中，美食永远排在第一位，比较宅又特别适合做姐妹。这个词属于褒义，也可以用作自嘲语，与猪精女孩相反。
有内鬼终止交易,2019,摘要： 有内鬼终止交易的来源和意思指感觉事情出现了问题，或用来调侃因为不可控的因素而失败终止。内鬼笼统称为间谍。最初指我们中间出现了间谍立刻停止交易，出自电影《无间道1》里刘建明（刘德华饰演）向韩琛（曾志伟饰演
土偶,2018,摘要： 网络流行语土偶，指的是很土的偶像？一起来看看吧
世界悲,2014,摘要： 从心脏病突发猝死，到憋尿熬出前列腺炎，从孕妇连续熬夜兴奋流产，再到因熬夜看球冲突跳楼，酒后驾驶“高歌猛进”……对于广大足球迷们来说，四年一次的世界杯是一场绝对不容错过的狂欢，但同时也造成了众多世界悲，令
扫橘子皮,2018,摘要： 扫橘子皮的意思是称赞膜拜某人的评论很厉害了，很犀利，很皮，通常在微博热门评论的神评论回复中出现，用法和同九何秀一样
网恋吗我铁观音,2018,摘要： “网恋吗我观世音”、“网恋吗我汉语拼音”、“网恋吗我雷佳音”、“网恋吗我暴风影音”、“网恋吗我中国好声音”.....
颜性恋,2020,摘要： 颜性恋的来源和意思指的是以颜值为唯一参考的择偶标准模式，选择对象的时候，只要对方长得好看的就行，颜值至上，其他的不管不顾。这个词的意思跟颜控差不多，不过有时候颜性恋也可以指那种看脸后随时可弯可直的人只要
塑料花姐妹,2017,摘要： 好姐妹的感情就像塑料花，特别假，但是却永不凋谢。
停靠在八楼的二路汽车,2018,摘要： 停靠在八楼的二路汽车是什么梗，流行语百科带你解读
大虾,2014,摘要： 英语好的大虾帮忙翻译一下
盘他,2019,摘要： 盘他是网络流行词，“盘”字在文玩圈指通过反复摩擦，使文玩表面更加光滑有质感。有“怼他”“玩弄他”的意思。目前多处于抖音及快手。
